distance,U_0,U_1,U_2
0.04522613065,0.009316755112,0.05338884056,-4.636796219e-20
0.04572864322,0.009432404886,0.05333884003,-4.568620918e-20
0.04623115578,0.009548054659,0.0532888395,-4.500445617e-20
0.04673366834,0.009663704432,0.05323883897,-4.432270316e-20
0.0472361809,0.009779071598,0.05318901634,-4.361297467e-20
0.04773869347,0.009892744875,0.05314026003,-4.273556745e-20
0.04824120603,0.01000641815,0.05309150372,-4.185816022e-20
0.04874371859,0.01012009143,0.05304274741,-4.0980753e-20
0.04924623116,0.01023376471,0.05299399111,-4.010334578e-20
0.04974874372,0.01034743799,0.0529452348,-3.922593855e-20
0.05025125628,0.01046111127,0.05289647849,-3.834853133e-20
0.05075376884,0.01057380089,0.0528481268,-3.739989072e-20
0.05125628141,0.01068544013,0.05280020718,-3.637518486e-20
0.05175879397,0.01079707937,0.05275228755,-3.5350479e-20
0.05226130653,0.01090871861,0.05270436793,-3.432577313e-20
0.0527638191,0.01102035785,0.05265644831,-3.330106727e-20
0.05326633166,0.01113199709,0.05260852868,-3.22763614e-20
0.05376884422,0.01124363633,0.05256060906,-3.125165554e-20
0.05427135678,0.01135425127,0.05251302423,-2.9972273e-20
0.05477386935,0.01146380541,0.05246578611,-2.842913418e-20
0.05527638191,0.01157335954,0.052418548,-2.688599536e-20
0.05577889447,0.01168291368,0.05237130989,-2.534285654e-20
0.05628140704,0.01179246781,0.05232407178,-2.379971772e-20
0.0567839196,0.01190202195,0.05227683366,-2.225657889e-20
0.05728643216,0.01201157608,0.05222959555,-2.071344007e-20
0.05778894472,0.01212081187,0.05218245178,-1.910410243e-20
0.05829145729,0.01222823333,0.05213584567,-1.711748089e-20
0.05879396985,0.01233565479,0.05208923955,-1.513085936e-20
0.05929648241,0.01244307624,0.05204263344,-1.314423782e-20
0.05979899497,0.0125504977,0.05199602733,-1.115761628e-20
0.06030150754,0.01265791916,0.05194942122,-9.170994742e-21
0.0608040201,0.01276534061,0.0519028151,-7.184373203e-21
0.06130653266,0.01287276207,0.05185620899,-5.197751665e-21
0.06180904523,0.01297922478,0.05180987765,-3.292593236e-21
0.06231155779,0.01308446825,0.05176389574,-1.491031598e-21
0.06281407035,0.01318971172,0.05171791383,3.105300394e-22
0.06331658291,0.01329495519,0.05167193192,2.112091677e-21
